candidate_id,network_feature_id,selected_road,candidate_type,longitude,latitude,related_road_a,related_road_b,distance_to_road_m,direct_distance_m,network_distance_m,detour_ratio,approach_score,monuments_within_500m,nearest_monument,nearest_monument_distance_m,computational_status,human_review_status,historical_evidence,present_condition,source
stitch:西華南街:1265424861-start--1170873272-end,1265424861-start--1170873272-end,西華南街,stitch_point,120.2099026,22.9959883,步道 #1265424861,服務道路 #1170873272,,30,218,7.2,,9,臺南火車站,287,connectivity_candidate,unreviewed,not_assessed,not_assessed,OpenStreetMap derived
stitch:西華南街:572138485-end--1462302936-end,572138485-end--1462302936-end,西華南街,stitch_point,120.2101851,22.9966067,服務道路 #572138485,中山路27巷,,68,474,6.9,,7,臺南火車站,233,connectivity_candidate,unreviewed,not_assessed,not_assessed,OpenStreetMap derived
stitch:西華南街:572138484-end--1462302936-end,572138484-end--1462302936-end,西華南街,stitch_point,120.2102109,22.9967125,服務道路 #572138484,中山路27巷,,81,452,5.6,,7,臺南火車站,228,connectivity_candidate,unreviewed,not_assessed,not_assessed,OpenStreetMap derived
stitch:廣慈街:1170873291-end--1276759619-start,1170873291-end--1276759619-start,廣慈街,stitch_point,120.2072698,22.9973078,服務道路 #1170873291,服務道路 #1276759619,,72,376,5.2,,13,臺南興濟宮,157,connectivity_candidate,unreviewed,not_assessed,not_assessed,OpenStreetMap derived
stitch:西華南街:1170873282-end--1462302936-end,1170873282-end--1462302936-end,西華南街,stitch_point,120.2102366,22.996811,服務道路 #1170873282,中山路27巷,,97,462,4.8,,6,臺南火車站,223,connectivity_candidate,unreviewed,not_assessed,not_assessed,OpenStreetMap derived
stitch:西華南街:1170873272-end--1462302936-end,1170873272-end--1462302936-end,西華南街,stitch_point,120.2101338,22.9962601,服務道路 #1170873272,中山路27巷,,75,314,4.2,,9,臺南火車站,252,connectivity_candidate,unreviewed,not_assessed,not_assessed,OpenStreetMap derived
stitch:西華南街:1265424861-start--1170873270-end,1265424861-start--1170873270-end,西華南街,stitch_point,120.2097615,22.9959574,步道 #1265424861,服務道路 #1170873270,,50,194,3.9,,9,臺南火車站,301,connectivity_candidate,unreviewed,not_assessed,not_assessed,OpenStreetMap derived
stitch:廣慈街:1276759619-start--1170873297-start,1276759619-start--1170873297-start,廣慈街,stitch_point,120.2074702,22.9975546,服務道路 #1276759619,服務道路 #1170873297,,74,258,3.5,,12,臺南興濟宮,153,connectivity_candidate,unreviewed,not_assessed,not_assessed,OpenStreetMap derived
stitch:廣慈街:1170873291-end--72871331-end,1170873291-end--72871331-end,廣慈街,stitch_point,120.2072325,22.9974501,服務道路 #1170873291,步道 #72871331,,104,356,3.4,,13,臺南興濟宮,143,connectivity_candidate,unreviewed,not_assessed,not_assessed,OpenStreetMap derived
stitch:廣慈街:572144119-end--572144143-start,572144119-end--572144143-start,廣慈街,stitch_point,120.206496,22.9957068,公園路90巷,服務道路 #572144143,,106,332,3.1,,23,全臺吳氏大宗祠,125,connectivity_candidate,unreviewed,not_assessed,not_assessed,OpenStreetMap derived
