rank,road,length_m,segments,highway_classes,alley_trace_candidates,stitch_candidates,total_signals,signals_per_km,study_role
1,廣慈街,307,1,residential,10,7,17,55.37,high-signal case
2,西華南街,504,3,residential,7,7,14,27.78,
3,東寧路西段,1362,10,tertiary|residential,7,2,9,6.61,
4,觀亭街,282,2,residential,5,3,8,28.37,
5,公園路,2128,12,tertiary,7,1,8,3.76,
6,前鋒路,2145,16,tertiary|residential,8,0,8,3.73,
7,東豐路,4079,10,tertiary,6,1,7,1.72,
8,保安路,678,3,residential,7,0,7,10.32,
9,府連路,1258,7,residential,5,1,6,4.77,
10,慶東街,832,3,residential,5,1,6,7.21,
11,國華街一段,669,2,residential,5,1,6,8.97,
12,中正路,2196,16,tertiary,6,0,6,2.73,
13,勝利路,2175,10,tertiary,6,0,6,2.76,
14,康樂街,1594,11,residential|tertiary,6,0,6,3.76,
15,中山路,1587,8,primary|tertiary,6,0,6,3.78,
16,文賢路,1242,5,tertiary|primary,6,0,6,4.83,
17,府前路二段,1093,8,secondary,6,0,6,5.49,
18,公園北路,1665,13,tertiary,4,1,5,3,
19,府前路一段,1382,6,secondary,5,0,5,3.62,
20,友愛街,1359,7,residential,5,0,5,3.68,
21,青年路,1269,3,residential,5,0,5,3.94,
22,開山路,1038,3,residential,5,0,5,4.82,
23,民權路一段,678,3,tertiary,5,0,5,7.37,
24,育樂街,330,3,residential,5,0,5,15.15,
25,大埔街,295,3,residential,5,0,5,16.95,
26,河中街,237,1,residential,5,0,5,21.1,
27,臨安路一段,1695,9,tertiary|residential,3,1,4,2.36,
28,西華街,340,3,residential,3,1,4,11.76,
29,友愛東街,197,1,residential,3,1,4,20.3,
30,小東路,2285,19,secondary,4,0,4,1.75,
31,臨安路二段,1844,9,tertiary|residential,4,0,4,2.17,
32,樹林街二段,1655,5,residential,4,0,4,2.42,
33,中華西路二段,1451,4,primary,4,0,4,2.76,
34,忠義路二段,1034,7,tertiary,4,0,4,3.87,
35,大同路一段,843,2,tertiary,4,0,4,4.74,
36,忠義路三段,776,2,tertiary,4,0,4,5.15,
37,河樂廣場,495,1,pedestrian,4,0,4,8.08,
38,西門路四段7巷,340,2,residential,4,0,4,11.76,
39,中成路,334,1,residential,4,0,4,11.98,
40,興華街,199,1,residential,4,0,4,20.1,
41,武聖路160巷8弄,122,1,residential,4,0,4,32.79,
42,民德路125巷,119,1,residential,4,0,4,33.61,
43,文祥街,909,3,residential,2,1,3,3.3,
44,信義街,297,1,pedestrian,2,1,3,10.1,
45,公園南路,2723,9,tertiary,3,0,3,1.1,
