connection_tolerance_m,max_road_distance_m,min_approach_score,roads_tested,alley_trace_candidates,stitch_candidates,candidates_per_road,delta_from_baseline_percent
3,30,0.2,30,77,12,2.97,-22.6
3,30,0.35,30,59,10,2.3,-40
3,30,0.5,30,52,10,2.07,-46.1
3,30,0.7,30,40,9,1.63,-57.4
3,55,0.2,30,154,20,5.8,51.3
3,55,0.35,30,128,15,4.77,24.3
3,55,0.5,30,117,14,4.37,13.9
3,55,0.7,30,94,11,3.5,-8.7
3,80,0.2,30,243,27,9,134.8
3,80,0.35,30,208,22,7.67,100
3,80,0.5,30,187,21,6.93,80.9
3,80,0.7,30,158,15,5.77,50.4
5,30,0.2,30,73,7,2.67,-30.4
5,30,0.35,30,56,5,2.03,-47
5,30,0.5,30,49,5,1.8,-53
5,30,0.7,30,38,4,1.4,-63.5
5,55,0.2,30,150,19,5.63,47
5,55,0.35,30,125,14,4.63,20.9
5,55,0.5,30,114,13,4.23,10.4
5,55,0.7,30,92,10,3.4,-11.3
5,80,0.2,30,237,25,8.73,127.8
5,80,0.35,30,205,20,7.5,95.7
5,80,0.5,30,184,19,6.77,76.5
5,80,0.7,30,156,13,5.63,47
8,30,0.2,30,52,1,1.77,-53.9
8,30,0.35,30,42,1,1.43,-62.6
8,30,0.5,30,35,0,1.17,-69.6
8,30,0.7,30,30,0,1,-73.9
8,55,0.2,30,127,7,4.47,16.5
8,55,0.35,30,109,6,3.83,0
8,55,0.5,30,98,3,3.37,-12.2
8,55,0.7,30,82,3,2.83,-26.1
8,80,0.2,30,198,11,6.97,81.7
8,80,0.35,30,174,10,6.13,60
8,80,0.5,30,154,7,5.37,40
8,80,0.7,30,132,5,4.57,19.1
12,30,0.2,30,44,0,1.47,-61.7
12,30,0.35,30,36,0,1.2,-68.7
12,30,0.5,30,32,0,1.07,-72.2
12,30,0.7,30,27,0,0.9,-76.5
12,55,0.2,30,106,3,3.63,-5.2
12,55,0.35,30,91,3,3.13,-18.3
12,55,0.5,30,83,1,2.8,-27
12,55,0.7,30,68,1,2.3,-40
12,80,0.2,30,164,7,5.7,48.7
12,80,0.35,30,144,7,5.03,31.3
12,80,0.5,30,129,5,4.47,16.5
12,80,0.7,30,108,3,3.7,-3.5
